Country,Year,GDP_Growth,CO2_Emission_Metrics_per_capita,Electricity_access,Urban_population,Population_growth,Urban_population_growth_annual,Live_stock_production,Forest_area,Renewable_energy_use,Energy_use_kg_of_oil_per_capita,Population_total
St. Vincent and the Grenadines,2010,-3.4,2,92.6,49,0,0.8,107.9,73.2,5.5,..,"1,08,255.00"
Sudan,2010,3.5,..,40.6,33.1,2.2,2.5,104,..,61.4,..,"3,45,45,013.00"
Suriname,2010,5.2,4.5,91.2,66.3,1.1,1,113.9,98.1,24.5,"1,355.60","5,29,126.00"
Sweden,2010,6,5.5,100,85.1,0.9,1,98.9,68.4,46,"5,427.90","93,78,126.00"
Switzerland,2010,3,5,100,73.6,1,1.1,100,31.2,21.5,"3,347.60","78,24,909.00"
Syrian Arab Republic,2010,..,2.9,92.7,55.6,0.7,1.4,108.5,2.7,1.4,"1,013.90","2,13,62,529.00"
Tajikistan,2010,6.5,0.3,98.4,26.5,2.2,2.2,71.3,2.9,61.8,289.1,"75,27,394.00"
Tanzania,2010,6.3,0.2,14.8,28.1,2.9,5.3,81.4,56.4,90.3,465.9,"4,43,46,525.00"
Thailand,2010,7.5,3.9,99.7,43.9,0.5,3.5,86.6,39.3,22.7,"1,753.70","6,71,95,028.00"
Timor-Leste,2010,9.5,0.2,38,27.7,1.8,3,90.6,62.9,34.7,..,"10,93,523.00"
Togo,2010,6.1,0.4,30.8,37.5,2.7,4,89.6,22.8,65.8,485.1,"64,21,679.00"
Tonga,2010,0.8,1.1,92.1,23.4,0.1,0.3,95,12.4,1,..,"1,03,986.00"
Trinidad and Tobago,2010,3.3,36.1,100,54,0.5,0.2,116.3,45.3,0.3,"15,108.70","13,28,147.00"
Tunisia,2010,3.5,2.6,99.5,66.7,1,1.5,83.4,4.4,12.7,966.8,"1,06,35,244.00"
Turkey,2010,8.4,4.1,100,70.8,1.4,2.2,70.9,27.4,14.3,"1,474.70","7,23,26,988.00"
Turkmenistan,2010,9.2,11.3,100,48.5,1.6,2.2,95.1,8.8,0.1,"4,459.20","50,87,213.00"
Turks and Caicos Islands,2010,..,5.6,100,90.2,2.2,2.8,..,11.1,0.5,..,"32,660.00"
Tuvalu,2010,-2.7,0.7,97,54.8,1,2.9,94.7,33.3,0,..,"10,530.00"
Uganda,2010,5.6,0.1,12.1,19.4,3.2,5.8,88.6,13.7,91.6,..,"3,24,28,167.00"
Ukraine,2010,3.8,6.6,100,68.6,-0.4,-0.3,99.8,16.5,2.9,"2,887.00","4,58,70,741.00"
United Arab Emirates,2010,1.6,18.6,100,84.1,7.7,8.1,78.9,4.5,0.1,"7,215.20","85,49,988.00"
United Kingdom,2010,1.9,7.8,100,81.3,0.8,1.1,94.1,12.6,3.6,"3,230.60","6,27,66,365.00"
United States,2010,2.6,17.4,100,80.8,0.8,1,96.3,33.7,7.5,"7,161.60","30,93,21,666.00"
Uruguay,2010,7.8,1.9,99.1,94.4,0.3,0.5,97.5,9.9,52.8,"1,216.60","33,59,275.00"
Uzbekistan,2010,7.6,3.6,99.7,51,2.8,3.8,70.6,7.9,2.6,"1,512.80","2,85,62,400.00"
Vanuatu,2010,1.6,0.5,44.1,24.5,2.6,3.3,103.5,36.3,38.4,..,"2,36,211.00"
"Venezuela, RB",2010,-1.5,6.7,98.9,88.1,1.4,1.5,103.6,53.9,11.4,"2,545.00","2,84,39,940.00"
Vietnam,2010,6.4,1.6,98.5,30.4,1,3.2,85.5,43.2,34.8,669.7,"8,79,67,651.00"
Virgin Islands (U.S.),2010,0.9,..,100,94.6,0,0.1,105.6,52.7,0,..,"1,08,358.00"
West Bank and Gaza,2010,5.8,0.5,99.9,74.1,2.6,2.9,87.2,1.5,14.1,..,"37,86,161.00"
"Yemen, Rep.",2010,7.7,1,73.7,31.8,2.8,4.6,74.1,1,1,338.3,"2,31,54,855.00"
Zambia,2010,10.3,0.2,22,39.4,2.9,4.2,90.4,62.8,92.1,604.4,"1,36,05,984.00"
Zimbabwe,2010,19.7,0.6,39.8,33.2,1.4,0.8,102.8,46.3,82.9,744.9,"1,26,97,723.00"
Arab World,2010,4.7,4.6,87,56.4,2.4,3.2,23.2,1.7,4.8,"1,785.00","35,48,90,042.00"
Caribbean small states,2010,1.3,9.4,93.3,50.4,0.7,0.7,0.1,90.5,9.1,"5,025.50","69,73,196.00"
Central Europe and the Baltics,2010,1.7,6.8,100,62,-0.4,-0.3,0.1,33.7,14.5,"2,635.00","10,44,21,447.00"
Early-demographic dividend,2010,6.1,2.1,78.7,42,1.5,2.5,0.3,23.6,26.5,861.8,"2,90,79,16,908.00"
East Asia & Pacific,2010,7.1,5.7,95.6,51.9,0.7,2.7,0.2,26.8,13.7,"1,922.60","2,20,68,84,624.00"
East Asia & Pacific (excluding high income),2010,9.8,5.1,95.1,47.6,0.7,3.1,0.2,30.1,16.5,"1,621.10","1,96,59,54,304.00"
East Asia & Pacific (IDA & IBRD countries),2010,9.8,5.1,95.9,47.5,0.7,3.1,0.2,30,16.5,"1,632.00","1,94,13,77,349.00"
Euro area,2010,2.1,7.4,100,75.3,0.2,0.5,0.1,38,12.8,"3,627.00","33,61,51,479.00"
Europe & Central Asia,2010,2.6,7.5,100,70.8,0.4,0.7,0.1,38.3,10.8,"3,309.10","88,79,26,820.00"
Europe & Central Asia (excluding high income),2010,5.6,7.8,99.9,66.3,0.6,0.8,0.2,39.4,5.4,"3,081.50","37,78,35,769.00"
Europe & Central Asia (IDA & IBRD countries),2010,4.8,7.6,99.9,65.2,0.4,0.7,0.2,39.2,6.6,"2,972.50","44,04,20,861.00"
European Union,2010,2.2,7.3,100,73,0.1,0.4,0.1,39.2,14.2,"3,448.00","44,15,32,412.00"
Fragile and conflict affected situations,2010,4.5,1,45.2,41.2,2.5,3.6,19.1,28.2,58.1,727.9,"64,78,10,261.00"
Heavily indebted poor countries (HIPC),2010,5.9,0.2,29.6,32.5,2.8,4.2,21.3,30.8,80.2,417.7,"62,42,19,326.00"
High income,2010,2.9,11.3,99.9,79.4,0.6,1,0.1,29.1,9.7,"4,882.90","1,17,93,29,058.00"
IBRD only,2010,7.3,4.1,91.5,50,1,2.3,0.2,34.2,17.9,"1,450.10","4,42,70,61,901.00"
IDA & IBRD total,2010,7.2,3.3,80.4,46.1,1.3,2.6,1.3,32.9,23.4,"1,252.90","5,79,24,08,543.00"
IDA blend,2010,6.3,0.9,57,38.5,2.5,3.8,0.2,30.6,63,640.9,"45,60,49,562.00"
IDA only,2010,6.1,0.3,38.6,30.7,2.3,3.9,15.7,28.6,71.6,376.2,"90,92,97,080.00"
IDA total,2010,6.2,0.5,44.8,33.3,2.3,3.8,8.7,29,67.4,480.6,"1,36,53,46,642.00"
Late-demographic dividend,2010,7.6,6.1,98.4,55.3,0.6,2.4,0.2,39.3,14.6,"2,035.00","2,18,08,28,823.00"
Latin America & Caribbean,2010,5.8,2.9,96,78.5,1.1,1.5,0.2,47.9,28.3,"1,334.80","58,99,32,554.00"
Latin America & Caribbean (excluding high income),2010,6,2.8,95.9,78.3,1.1,1.5,0.2,49.2,28.7,"1,287.20","55,94,96,778.00"
Latin America & the Caribbean (IDA & IBRD countries),2010,6,2.9,95.9,78.5,1.1,1.5,0.2,48,28.7,"1,336.20","57,38,00,630.00"
Least developed countries: UN classification,2010,6.2,0.3,34,29.5,2.4,4.1,18.4,30.6,76.7,352,"83,66,14,860.00"
Low & middle income,2010,7.5,3.2,80,45.9,1.3,2.6,1.4,33.1,23.5,"1,233.50","5,74,25,42,545.00"
Low income,2010,6.5,0.4,28.9,30.3,2.7,3.9,24.1,23.7,69.8,..,"53,12,60,028.00"
Lower middle income,2010,6.8,1.3,71.5,35.7,1.6,2.8,0.3,26.9,41.9,601.3,"2,54,81,54,994.00"
Middle East & North Africa,2010,5,5.9,96.3,62.7,2.1,2.8,0.9,2,1.9,"2,118.70","38,59,17,886.00"
Middle East & North Africa (excluding high income),2010,5.2,3.9,95.7,59.1,1.8,2.4,1.1,2.5,2.8,"1,357.70","33,27,77,824.00"
Middle East & North Africa (IDA & IBRD countries),2010,5.2,3.9,95.6,58.9,1.8,2.4,0.2,2.5,2.7,"1,357.70","32,89,91,663.00"
Middle income,2010,7.5,3.5,85.2,47.5,1.2,2.5,0.2,34.6,21.8,"1,281.50","5,21,12,82,517.00"
North America,2010,2.6,17.2,100,80.8,0.9,1.1,0.1,36.2,9.1,"7,223.70","34,33,91,679.00"
Not classified,2010,..,..,..,..,..,..,..,..,..,..,..
OECD members,2010,2.9,9.9,99.8,79,0.7,1,0.1,32.5,10.4,"4,245.80","1,28,75,27,865.00"
Other small states,2010,8.5,6.7,66.3,57.5,2.5,4,0.2,29.8,30.7,..,"2,60,50,942.00"
Pacific island small states,2010,3.1,1.1,69.7,36.9,1.3,2.1,0.1,67.6,31.5,..,"22,14,519.00"
Post-demographic dividend,2010,2.8,11.1,100,79.9,0.5,0.8,0.1,31.9,9.9,"4,839.70","1,07,48,65,103.00"
Pre-demographic dividend,2010,6.3,0.5,32.3,36.9,2.9,4.4,20.3,30,76.3,563,"73,18,68,772.00"
Small states,2010,7.2,6.9,72,54.8,2.1,3.3,0.2,40.6,27,..,"3,52,38,657.00"
South Asia,2010,7.7,1.2,73.2,30.8,1.4,2.6,0.2,18.3,41.6,515.2,"1,63,87,92,934.00"
South Asia (IDA & IBRD),2010,7.7,1.2,73.2,30.8,1.4,2.6,0.2,18.3,41.6,515.2,"1,63,87,92,934.00"
Sub-Saharan Africa,2010,5.6,0.9,33.8,36,2.8,4.3,15.6,29.9,71.4,691.4,"86,90,25,106.00"
Sub-Saharan Africa (excluding high income),2010,5.6,0.9,33.7,36,2.8,4.3,15.6,29.9,71.6,690.7,"86,76,84,936.00"
Sub-Saharan Africa (IDA & IBRD countries),2010,5.6,0.9,33.8,36,2.8,4.3,15.6,29.9,71.4,691.4,"86,90,25,106.00"
Upper middle income,2010,7.6,5.6,98.3,58.9,0.8,2.4,0.2,37.5,14.7,"1,926.00","2,66,31,27,523.00"
World,2010,4.3,4.6,83.3,51.6,1.2,2.2,0.9,30.9,17.3,"1,874.70","6,92,18,71,603.00"
Afghanistan,2011,0.4,0.4,43.2,23.9,3.1,4,100.1,1.9,11.5,..,"3,01,17,413.00"
Albania,2011,2.5,1.8,..,53.2,-0.3,1.8,93.4,28.6,36,765,"29,05,195.00"
Algeria,2011,2.9,3.3,99,68.2,1.9,2.9,84.3,0.8,0.2,"1,140.60","3,66,61,444.00"
American Samoa,2011,0.3,..,..,87.5,-0.6,-0.7,98.6,87,0,..,"55,759.00"
Andorra,2011,0,5.9,100,88.7,-0.8,-0.9,..,34,19,..,"83,747.00"
Angola,2011,3.5,1.3,34.6,60.5,3.6,4.9,92,57.4,52.7,521.8,"2,42,20,661.00"
Antigua and Barbuda,2011,-2,5.8,94.6,25.7,1.4,-0.7,107.8,19.8,0,..,"89,253.00"
Argentina,2011,6,4.6,99.3,91,1.2,1.3,93.5,11,10.1,"1,952.10","4,12,61,490.00"
Armenia,2011,4.7,1.7,99.8,63.3,0,-0.2,80.9,11.6,8,944,"28,76,538.00"
Aruba,2011,3.4,24.5,100,42.9,0.4,0.1,..,2.3,5.7,..,"1,02,046.00"
Australia,2011,2.5,17.5,100,85.3,1.4,1.5,86.2,17,8.3,"5,745.20","2,23,40,024.00"
Austria,2011,2.9,7.8,100,57.1,0.3,-0.2,97.7,46.8,31,"3,921.90","83,91,643.00"
Azerbaijan,2011,-1.6,3.6,99.9,53.6,1.3,1.7,88,12.6,3.6,"1,369.40","91,73,082.00"
"Bahamas, The",2011,0.6,5,100,82.5,1.3,1.4,97.9,50.9,1.4,..,"3,59,577.00"
Bahrain,2011,2,22.6,100,88.7,3,3,47.8,0.7,0,"9,912.70","12,78,151.00"
Bangladesh,2011,6.5,0.4,59.6,31.2,1.1,3.6,88.4,14.5,39.4,212.1,"14,92,73,778.00"
Barbados,2011,-0.7,5.4,100,31.7,0.3,-0.2,94.9,14.7,4.6,..,"2,82,987.00"
Belarus,2011,5.4,6.8,100,75.2,-0.2,0.5,92.5,42.5,7.4,"3,097.70","94,73,172.00"
Belgium,2011,1.7,9.1,100,97.7,1.3,1.3,92.7,22.8,6.6,"5,092.30","1,10,38,264.00"
Belize,2011,1.9,1.8,91.7,45.2,2.4,2.4,79.1,60.5,31,..,"3,30,237.00"
Benin,2011,3,0.5,36.9,43.6,2.8,4,88.2,31.8,49.5,396.8,"94,60,830.00"
Bermuda,2011,-3.7,6.9,100,100,-0.9,-0.9,97.4,18.5,2.3,..,"64,564.00"
Bhutan,2011,8,1.1,81.8,35.6,1.1,3.4,103.2,71,89.6,..,"6,93,298.00"
Bolivia,2011,5.2,1.6,88.3,66.9,1.6,2.3,85.4,48.8,19.3,661,"1,02,12,954.00"
Bosnia and Herzegovina,2011,1,6.5,99.7,45.9,-1.2,-0.5,108.8,41.3,14.2,"1,951.70","36,61,175.00"
Botswana,2011,6,2,53.2,63.9,1.4,3.7,131,28.8,30,"1,026.70","20,15,402.00"
Brazil,2011,4,2.2,99.3,84.6,0.9,1.3,92.7,61,45.5,"1,367.20","19,75,14,534.00"
British Virgin Islands,2011,..,7.1,99,45.2,1.9,2.6,95.8,24.2,1.1,..,"28,319.00"
Brunei Darussalam,2011,3.7,24.6,100,75.3,1.3,1.8,98.1,72.1,0,"9,837.40","3,93,688.00"
Bulgaria,2011,2.4,6.7,100,72.6,-0.6,-0.2,107.8,34.6,13.3,"2,617.10","73,48,328.00"
Burkina Faso,2011,6.6,0.1,15,25.2,3,5.3,105.4,24.4,80.6,..,"1,60,81,911.00"
Burundi,2011,4,0,6.2,10.9,3.2,5.7,85.4,8.2,96.6,..,"89,58,406.00"
Cabo Verde,2011,4,1.2,79.4,62.3,1.3,2.1,92.1,10.7,21.6,..,"4,98,856.00"
Cambodia,2011,7.1,0.4,48,20.7,1.6,3.4,100.5,58,68.2,381.2,"1,45,41,423.00"
Cameroon,2011,4.1,0.3,53.7,52.2,2.7,3.9,98,44.1,78.4,321.2,"2,09,06,388.00"
Canada,2011,3.1,15.2,100,81.1,1,1.2,99.9,38.7,22,"7,911.60","3,43,39,328.00"
Cayman Islands,2011,1.2,10.1,100,100,2.1,2.1,101.7,53,0,..,"57,878.00"
Central African Republic,2011,4.2,0.1,13.2,39.1,0.7,1.3,93.8,36.2,78.8,..,"44,18,636.00"
Chad,2011,0.1,0.1,7,22.1,3.4,3.7,77.2,4.3,90.6,..,"1,23,60,989.00"
Channel Islands,2011,..,..,..,31.1,0.8,0.9,..,5.2,..,..,"1,60,998.00"
Chile,2011,6.1,4.6,99.6,87.1,1,1.1,99.7,22.7,28.8,"1,950.20","1,72,33,576.00"
China,2011,9.6,7.2,99.9,50.5,0.5,3.1,94.1,21.5,11.7,"2,086.50","1,34,41,30,000.00"
Colombia,2011,6.9,1.7,96.7,78.3,1,1.4,89.2,54.7,26.8,684.4,"4,56,62,747.00"
Comoros,2011,4.1,0.2,69.6,28,2.4,2.7,101.1,19.8,47.8,..,"7,06,569.00"
"Congo, Dem. Rep.",2011,6.9,0,13.3,40.5,3.3,4.7,97.8,60,96.2,315.8,"6,67,55,153.00"
"Congo, Rep.",2011,2.2,0.5,44.5,63.7,2.8,3.5,92.8,64.6,64.9,508,"43,94,844.00"
Costa Rica,2011,4.3,1.6,99.2,72.9,1.2,2.8,97.5,56.6,40.5,"1,004.70","46,33,086.00"
Cote d'Ivoire,2011,-4.4,0.3,59,47.8,2.4,3.3,89.1,12.1,78.9,554.1,"2,10,28,655.00"
Croatia,2011,-0.2,4.7,100,55.3,-0.3,0,88.5,34.3,27.2,"2,140.40","42,80,622.00"
Cuba,2011,2.8,2.6,98.1,76.7,0.1,0.2,94,27.9,16.7,"1,032.80","1,12,36,670.00"
Curacao,2011,0.6,..,100,89.8,1.4,1.3,..,0.2,0.2,"16,064.10","1,50,831.00"
Cyprus,2011,0.4,6.6,100,67.4,1.1,0.9,108.1,18.7,7.4,"2,105.30","11,24,833.00"
Czech Republic,2011,1.8,10.3,100,73.2,0.2,0.1,94.9,34.4,12.1,"4,077.40","1,04,96,088.00"
Denmark,2011,1.3,7.3,100,87,0.4,0.6,102.7,14,23.9,"3,230.20","55,70,572.00"
Djibouti,2011,..,0.6,56,77.1,1.6,1.7,125.7,0.2,34.4,..,"8,53,674.00"
Dominica,2011,-0.2,2.2,95.4,68.4,0.1,0.5,101.3,63.8,11.5,..,"70,916.00"
Dominican Republic,2011,3.1,2.2,97.9,74.8,1.2,2.7,96.5,43,17.2,781.5,"98,13,210.00"
Ecuador,2011,7.9,2.4,96.9,62.9,1.5,1.8,109.8,52.3,13.3,817.6,"1,52,43,883.00"
"Egypt, Arab Rep.",2011,1.8,2.6,99.5,43,2.1,2.1,97.2,0.1,5.6,900.7,"8,45,29,250.00"
El Salvador,2011,3.8,1.1,92.6,66.3,0.4,1.8,92.6,30.1,30.3,690.9,"62,10,568.00"
Equatorial Guinea,2011,6.5,9.5,66.1,67.5,4.5,6.8,112.7,90,5.6,..,"9,86,853.00"
Eritrea,2011,8.7,0.2,40.9,35.8,1.4,3,98.8,10.7,80.8,236.3,"32,13,972.00"
Estonia,2011,7.4,13.6,100,68,-0.3,-0.5,93.1,55.5,25,"4,237.70","13,27,439.00"
Eswatini,2011,2.2,1,51.7,22.7,0.7,1.6,101.2,28.3,61.3,..,"10,72,032.00"
Ethiopia,2011,11.2,0.1,23,17.7,2.8,5.2,98.2,15.7,94,489.2,"9,01,39,927.00"
Faroe Islands,2011,..,11.9,100,41.1,0,0.4,96.3,0.1,5,..,"47,823.00"
Fiji,2011,2.7,1.3,90.2,52.7,0.4,1.4,112.8,59.1,33.9,..,"8,63,449.00"
Finland,2011,2.5,10.5,100,84.3,0.5,1.1,96.3,73.3,35.3,"6,537.60","53,88,272.00"
France,2011,2.2,5.1,100,78.6,0.5,0.8,101.2,30.1,10.9,"3,847.10","6,53,42,780.00"
French Polynesia,2011,..,2.9,100,60.9,0.5,1.4,103,40.8,9.8,..,"2,67,698.00"
Gabon,2011,7.1,2.9,90.5,86.1,3.7,4.3,92.7,91.7,79.8,"2,429.20","16,84,635.00"
"Gambia, The",2011,-8.1,0.2,48.9,56.4,3,4.3,91.9,29.1,54.2,..,"18,48,147.00"
Georgia,2011,7.4,2.1,99.6,55.9,-0.8,-0.1,92,40.6,31.5,943.5,"37,56,441.00"
Germany,2011,3.9,9.1,100,77.2,-1.9,-1.6,98.3,32.7,11.4,"3,869.80","8,02,74,983.00"
Ghana,2011,14,0.5,64.1,51.4,2.4,3.8,87.2,34.9,48,311.4,"2,53,87,710.00"
Gibraltar,2011,..,13.4,100,100,0.1,0.1,..,0,0,"4,996.10","33,612.00"
Greece,2011,-9.1,7.2,100,76.6,-0.1,0.3,109.1,30.3,11.1,"2,407.80","1,11,04,899.00"
Greenland,2011,-0.5,12.4,100,84.8,0,0.4,96.9,0,12.2,..,"56,890.00"
Grenada,2011,0.8,2.4,88.8,35.9,0.5,0.5,101.8,52.1,11.2,..,"1,06,796.00"
Guam,2011,0.1,..,100,94.2,0.2,0.3,84.9,44.8,0,..,"1,59,692.00"
Guatemala,2011,4.2,0.8,84,48.7,1.8,2.4,77.4,34.5,66.4,750.6,"1,45,21,515.00"
Guinea,2011,5.6,0.3,28.6,34,2.2,3.1,83.9,26.6,74.7,..,"1,04,20,471.00"
Guinea-Bissau,2011,8.1,0.2,13.3,40.5,2.6,3.6,94.4,73.1,87.7,..,"15,62,989.00"
Guyana,2011,5.2,2.4,83.8,26.4,0.3,-0.5,84.5,94,36.3,..,"7,52,028.00"
Haiti,2011,6.2,0.2,38,48.5,1.5,3.6,99,13.6,79,389.1,"1,01,00,320.00"
Honduras,2011,3.8,1,82.2,52.5,1.9,3.2,94.4,58.6,52,596.7,"84,80,671.00"
"Hong Kong SAR, China",2011,4.8,6.1,100,100,0.7,0.7,88.7,..,1.1,"2,087.20","70,71,600.00"
Hungary,2011,1.9,4.9,100,69.4,-0.3,0.4,91.8,22.6,14.7,"2,500.30","99,71,727.00"
Iceland,2011,1.9,5.9,100,93.6,0.3,0.3,91.3,0.5,76.5,"18,157.60","3,19,014.00"
India,2011,5.2,1.5,67.6,31.3,1.3,2.4,84.8,23.5,38.9,578,"1,25,02,88,729.00"
Indonesia,2011,6.2,2.1,94.8,50.6,1.3,2.7,86.1,54.5,38.2,833.6,"24,51,16,206.00"
"Iran, Islamic Rep.",2011,2.6,7.9,99.2,71.2,1.2,2,94.3,6.6,0.9,"2,791.10","7,46,34,956.00"
Iraq,2011,7.5,4.5,98,69.3,3.3,3.5,108.4,1.9,1.1,"1,335.70","3,07,25,300.00"
Ireland,2011,0.3,7.8,100,61.7,0.4,0.8,89.9,10.6,6.7,"2,865.40","45,80,084.00"
Isle of Man,2011,2,..,100,52,0,0.1,..,6.1,4.4,..,"84,886.00"
Israel,2011,4.8,8.9,100,91.9,1.8,1.9,88.5,7.2,9,"2,980.20","77,65,800.00"
Italy,2011,0.7,6.7,100,68.4,0.2,0.3,106.9,30.9,11.9,"2,828.40","5,93,79,449.00"
Jamaica,2011,1.7,2.7,91.1,53.9,0.5,0.9,90.4,51.9,13.9,"1,009.30","28,25,929.00"
Japan,2011,-0.1,9.3,100,91.1,-0.2,0.1,90.6,68.5,4.7,"3,610.80","12,78,33,000.00"
Jordan,2011,2.7,2.8,99.1,87.2,5.4,6.6,94.5,1.1,3,922.1,"76,63,131.00"
Kazakhstan,2011,7.4,15.6,99.8,56.9,1.4,1.6,94.2,1.2,1.4,"4,670.80","1,65,57,201.00"
Kenya,2011,6.1,0.3,38.6,24,2.7,4.4,97.4,6.3,77.1,461.5,"4,31,78,257.00"
Kiribati,2011,1.6,0.5,77.1,48.2,1.7,3.5,97.2,1.5,3.6,..,"1,04,728.00"
"Korea, Dem. People’s Rep.",2011,..,1.5,31.7,60.6,0.5,0.8,100.6,51.7,18.1,567.3,"2,46,73,385.00"
"Korea, Rep.",2011,3.7,11.8,100,81.9,0.8,0.8,79.8,65.6,1.3,"5,216.60","4,99,36,638.00"
Kosovo,2011,4.4,4.7,100,..,0.9,..,..,..,19.7,"1,411.50","17,91,000.00"
Kuwait,2011,9.6,27.4,100,100,5.7,5.7,89.9,0.4,0,"10,221.20","31,68,060.00"
Kyrgyz Republic,2011,6,1.4,99.4,35.4,1.2,1.3,88.6,6.4,26,600.3,"55,14,600.00"
Lao PDR,2011,8,0.5,70,30.7,1.6,3.5,117.9,73.2,66.3,..,"63,47,567.00"
Latvia,2011,6.5,3.5,100,67.9,-1.8,-1.8,89.3,54.3,35.5,"2,066.60","20,59,709.00"
Lebanon,2011,0.9,3.9,99.7,87.5,4.9,5.1,99.5,13.5,5.2,"1,219.90","52,02,343.00"
Lesotho,2011,5.4,1.2,22.2,25.3,0.4,2.5,104.2,1.1,53.1,..,"20,03,787.00"
Liberia,2011,8.2,0.2,4.1,48.2,3.2,4,93.3,81.9,87.4,..,"40,17,443.00"
Libya,2011,-62.1,6.4,79.7,78.3,0.8,1.1,118.6,0.1,2.2,"2,190.80","62,47,439.00"
Liechtenstein,2011,..,1.4,100,14.4,0.8,0.5,104.7,41.9,61.4,..,"36,293.00"
Lithuania,2011,6,4.6,100,66.7,-2.3,-2.3,98.2,34.7,22.7,"2,412.50","30,28,115.00"
Luxembourg,2011,2.5,21,100,88.9,2.2,2.6,87.9,36.5,3.7,"8,056.40","5,18,347.00"
"Macao SAR, China",2011,21.7,2.7,100,100,2.3,2.3,86,..,5.5,..,"5,50,832.00"
Madagascar,2011,1.6,0.1,14.3,32.6,2.8,4.8,96,21.6,78.8,..,"2,17,43,967.00"
Malawi,2011,4.9,0.1,7.6,15.7,2.9,3.7,62.7,27.8,79.7,..,"1,49,62,112.00"
Malaysia,2011,5.3,7.7,99.5,71.6,1.6,2.5,81.4,58,4.1,"2,670.70","2,86,50,955.00"
Maldives,2011,8.6,2.6,99.5,36.8,4,5.1,99,2.7,1.1,..,"3,80,495.00"
Mali,2011,3.2,0.1,29.7,36.8,3,5.2,100.2,10.9,66.6,..,"1,55,14,591.00"
Malta,2011,0.5,6.1,100,94.1,0.4,0.5,102.5,1.1,2,"1,993.30","4,16,268.00"
Marshall Islands,2011,-0.8,2.5,89.9,74,0.3,0.9,..,52.2,12.1,..,"56,531.00"
Mauritania,2011,4.2,0.7,35.1,47.5,2.9,4.9,90.4,0.4,33.3,..,"35,98,648.00"
Mauritius,2011,4.1,3.1,99.4,41.4,0.2,-0.1,100.8,18.9,12.1,"1,053.50","12,52,404.00"
Mexico,2011,3.7,4.2,99.1,78.1,1.4,1.8,94.7,34.4,9.1,"1,587.10","11,56,95,473.00"
"Micronesia, Fed. Sts.",2011,3.2,1.1,67.2,22.3,0.5,0.6,91.7,91.7,1.4,..,"1,03,450.00"
Moldova,2011,5.8,1.8,100,42.6,-0.1,-0.1,102,11.5,9.9,"1,207.10","28,59,833.00"
Monaco,2011,7,..,100,100,1.2,1.2,..,0,..,..,"36,024.00"
Mongolia,2011,17.3,7.8,72.1,68,1.8,2.4,67.5,9.1,3.9,"1,557.00","27,70,362.00"
Montenegro,2011,3.2,3.9,99,64.5,0.1,0.6,106.2,61.5,42.8,"1,815.50","6,20,079.00"
Morocco,2011,5.2,1.7,92.7,58.6,1.3,2.3,89.8,12.7,12.4,561.4,"3,27,81,850.00"
Mozambique,2011,7.4,0.1,20.2,32.3,2.7,4.3,91.8,49.3,90.5,428.3,"2,41,87,487.00"
Myanmar,2011,5.6,0.3,53.8,29.1,0.8,1.4,71.5,47.7,83.9,280.9,"5,09,90,615.00"
Namibia,2011,5.1,1.3,42.3,42.6,1.8,4.2,103.3,8.8,27.9,736.5,"21,56,701.00"
Nauru,2011,10,4,99,100,0.5,0.5,98.4,0,0.1,..,"10,057.00"
Nepal,2011,3.4,0.2,67.3,17.1,0.1,2.1,88.7,41.6,86.9,390.8,"2,70,41,437.00"
Netherlands,2011,1.6,10.5,100,87.9,0.5,1.3,89.5,11,4.7,"4,636.70","1,66,93,074.00"
New Caledonia,2011,..,14,100,67.6,1.8,2.5,91.7,45.9,5.6,..,"2,54,350.00"
New Zealand,2011,2.4,7.2,100,86.1,0.8,0.7,85.9,37.4,32.1,"4,177.00","43,84,000.00"
Nicaragua,2011,6.3,0.8,79.7,57.1,1.3,1.7,101.6,34.3,51.7,518.1,"59,03,039.00"
Niger,2011,2.4,0.1,14.3,16.2,3.9,3.8,89.6,0.9,77.3,113.1,"1,71,14,761.00"
Nigeria,2011,5.3,0.8,55.9,44.4,2.7,4.7,95.9,25.4,86.2,778.8,"16,28,05,071.00"
North Macedonia,2011,2.3,4.5,99.7,57.1,0.1,0.1,102.1,38.4,18.6,"1,506.10","20,72,487.00"
Northern Mariana Islands,2011,-7.7,..,100,91,0.1,0.2,..,65.6,0,..,"54,012.00"
Norway,2011,1,8.6,100,79.5,1.3,1.7,97.4,33.2,56.5,"5,649.70","49,53,088.00"
Oman,2011,2.7,16.6,100,76.2,6.7,8,81.4,0,0,"6,771.20","32,51,108.00"
Pakistan,2011,2.7,0.9,70.5,35.2,2.2,2.7,87.2,5.3,46.1,467.2,"18,33,40,592.00"
Palau,2011,6.7,12.2,98.6,75.5,-1.2,-0.3,..,88.4,0,..,"17,745.00"
Panama,2011,11.3,2.7,91,65.4,1.7,2.2,91,58.1,19.1,"1,056.50","37,06,483.00"
Papua New Guinea,2011,1.1,0.7,31.4,13,2.2,2,95.6,79.8,54.7,..,"74,72,200.00"
Paraguay,2011,4.2,0.8,98.2,59.6,1.4,1.9,81.2,48.2,63.1,769.8,"63,33,976.00"
Peru,2011,6.3,1.7,89.7,76.6,0.8,1.1,86.4,57.7,29.5,649.3,"2,92,64,318.00"
